function_count,struct_count,union_count,enum_count,typedef_count,global_var_count,goto_count,return_count,switch_count,case_count,ternary_count,static_count,const_count,malloc_count,calloc_count,realloc_count,free_count,total_alloc,memory_pair_ratio,null_check_count,null_check_ratio,printf_count,scanf_count,fprintf_count,fscanf_count,fopen_count,fclose_count,puts_count,gets_count,fgets_count,file_pair_ratio,include_count,std_header_count,custom_header_count,header_diversity,define_count,define_func_count,ifdef_count,ifndef_count,pragma_count,define_descriptive_ratio,single_char_var_count,unique_id_count,avg_id_length,snake_case_count,camel_case_count,upper_case_count,naming_consistency,naming_uniform,func_count_named,func_descriptive_ratio,func_short_name_count,comment_count,perfect_comment_ratio,capitalized_comment_ratio,avg_comment_len,std_comment_len,explanatory_comment_ratio,step_comment_count,doc_comment_count,dead_code_count,comment_line_count,comment_line_ratio,op_spacing_total,op_spacing_rate,comma_total,comma_space_rate,total_lines,total_chars,line_len_mean,line_len_std,line_len_max,nb_line_len_mean,nb_line_len_std,nb_line_len_cv,blank_line_ratio,max_consec_blank,tab_indent_lines,space_indent_lines,mixed_indent,indent_mode,indent_inconsistency,indent_inconsistency_ratio,trailing_ws_ratio,brace_same_line,brace_next_line,brace_consistency,code_density,cyclomatic_branches,avg_cyclomatic,max_nesting,avg_nesting,halstead_n1,halstead_n2,halstead_N1,halstead_N2,halstead_vocabulary,halstead_length,halstead_volume,halstead_difficulty,halstead_effort,halstead_bugs,maintainability_index,ast_node_count,ast_error_count,ast_error_ratio,_file,_path,_label,_chars
1,0,0,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0.0,1,1.0,15,1,0,0,0,0,0,0,0,0.0,3,3,0,3,0,0,0,0,0,0.0,0,9,6.071428571428571,1,0,0,1.0,True,1,0.0,0,4,0.0,0.0,29.75,5.539629951540085,1.0,0,0,0,4,0.06896551724137931,4,1.0,3,1.0,68,1844,26.13235294117647,17.75892850153103,68,29.74137931034483,16.734808185158705,0.5626776085444666,0.14705882352941177,1,0,52,False,2,0,0.0,0.1323529411764706,2,1,0.6666666666666666,0.8529411764705882,14,14.0,3,2.25,5,37,5,62,42,67,361.29,4.19,1513.49,0.1204,91.16,403,0,0.0,014592_FormAI_79555.c,C:\Users\ad\Downloads\codepython\project\fraud_detection_system\data_C\AI\014592_FormAI_79555.c,1,1844
5,0,0,0,0,0,0,5,1,4,0,0,0,11,0,0,0,11,0.0,0,0.0,12,3,0,0,0,0,0,0,0,0.0,3,3,0,3,0,0,0,0,0,0.0,30,19,3.8974358974358974,0,4,0,1.0,True,5,0.0,0,7,0.14285714285714285,1.0,47.285714285714285,21.913559309994646,0.8571428571428571,0,5,0,7,0.09333333333333334,18,1.0,27,1.0,87,2589,28.770114942528735,23.815720274026905,90,33.373333333333335,22.456935578024794,0.6729005866367797,0.13793103448275862,1,0,55,False,2,0,0.0,0.011494252873563218,10,0,1.0,0.8620689655172413,9,1.8,3,1.8,9,54,27,166,63,193,1153.62,13.83,15958.34,0.3845,85.11,814,0,0.0,083810_FormAI_108548.c,C:\Users\ad\Downloads\codepython\project\fraud_detection_system\data_C\AI\083810_FormAI_108548.c,1,2589
1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,3,1.0,0,0.0,4,2,0,0,0,0,0,0,0,0.0,3,3,0,3,0,0,0,0,0,0.0,14,12,5.607142857142857,0,1,0,1.0,True,1,0.0,0,2,1.0,1.0,41.5,8.5,1.0,0,0,0,2,0.05405405405405406,8,0.875,5,1.0,46,1533,32.34782608695652,27.537498063947787,104,40.21621621621622,25.026618407731867,0.6223016673965585,0.1956521739130435,1,0,32,False,2,0,0.0,0.0,4,0,1.0,0.8043478260869565,3,3.0,2,1.75,7,42,23,92,49,115,645.69,7.67,4950.3,0.2152,95.79,481,0,0.0,036048_FormAI_59328.c,C:\Users\ad\Downloads\codepython\project\fraud_detection_system\data_C\AI\036048_FormAI_59328.c,1,1533
3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,3,0,0,0,0,0,0,0,0,0.0,9,3,6,9,1,0,0,0,0,1.0,0,39,7.677083333333333,7,0,3,1.0,True,3,0.6666666666666666,0,14,0.0,1.0,30.642857142857142,12.573254737492498,0.9285714285714286,0,2,0,14,0.2,5,0.8,24,1.0,88,2235,24.40909090909091,18.302158568443854,66,30.685714285714287,15.116256960299266,0.4926154502890822,0.20454545454545456,1,0,52,False,2,0,0.0,0.0,4,0,1.0,0.7954545454545454,2,0.6666666666666666,2,1.4,7,56,13,118,63,131,783.02,7.38,5774.8,0.261,99.0,544,0,0.0,097196_FormAI_82527.c,C:\Users\ad\Downloads\codepython\project\fraud_detection_system\data_C\AI\097196_FormAI_82527.c,1,2235
1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,2,2.0,7,0,2,0,0,0,0,3,3,0.0,10,3,7,10,1,0,0,0,0,0.0,15,37,5.589595375722543,7,0,3,1.0,True,1,0.0,0,11,0.0,0.5454545454545454,18.545454545454547,5.39972451087909,0.5454545454545454,0,1,0,11,0.1,12,1.0,46,0.9130434782608695,114,3169,26.80701754385965,16.161942080291894,79,27.78181818181818,15.60849524992535,0.5618241091268942,0.03508771929824561,1,0,97,False,2,2,0.020618556701030927,0.0,14,0,1.0,0.9649122807017544,13,13.0,3,2.142857142857143,6,58,36,230,64,266,1596.0,11.9,18986.9,0.532,77.04,1030,0,0.0,003278_FormAI_107692.c,C:\Users\ad\Downloads\codepython\project\fraud_detection_system\data_C\AI\003278_FormAI_107692.c,1,3169
3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1.0,0,0.0,4,0,0,0,0,0,0,0,0,0.0,3,3,0,3,0,0,0,0,0,0.0,25,8,3.6923076923076925,0,2,0,1.0,True,3,0.0,0,5,0.0,1.0,27.4,7.964923100695951,1.0,0,1,0,5,0.1282051282051282,5,1.0,7,1.0,46,920,19.02173913043478,15.482794279927502,52,22.435897435897434,14.357692250452766,0.639942854591609,0.15217391304347827,1,0,25,False,2,0,0.0,0.0,4,3,0.5714285714285714,0.8478260869565217,4,1.3333333333333333,3,1.7142857142857142,6,25,12,72,31,84,416.15,8.64,3595.56,0.1387,100.0,345,0,0.0,029256_FormAI_105385.c,C:\Users\ad\Downloads\codepython\project\fraud_detection_system\data_C\AI\029256_FormAI_105385.c,1,920
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,0,0,0,0,0,0,0,0,0.0,2,2,0,2,1,0,0,0,0,0.0,26,6,3.1458333333333335,1,0,1,1.0,True,1,0.0,0,6,0.0,1.0,37.166666666666664,11.036555420762202,1.0,0,0,0,6,0.1875,9,0.0,2,1.0,40,803,19.1,17.422399375516566,60,23.875,16.291773230683024,0.6823779363636868,0.2,1,0,24,False,2,0,0.0,0.0,6,1,0.8571428571428571,0.8,7,7.0,4,2.4285714285714284,7,13,23,61,20,84,363.04,16.42,5962.27,0.121,100.0,256,0,0.0,096530_FormAI_67233.c,C:\Users\ad\Downloads\codepython\project\fraud_detection_system\data_C\AI\096530_FormAI_67233.c,1,803
5,2,0,0,1,0,0,3,0,0,0,0,0,1,0,0,3,1,1.0,2,2.0,6,0,0,0,0,0,0,0,0,0.0,2,2,0,2,0,0,0,0,0,0.0,0,16,5.21875,5,0,0,1.0,True,5,0.8,0,22,0.0,1.0,40.18181818181818,13.432106595888293,1.0,0,5,0,22,0.2268041237113402,9,1.0,9,1.0,116,2571,21.17241379310345,18.612785678810333,74,25.237113402061855,17.69546111987116,0.7011681897988165,0.16379310344827586,1,0,71,False,2,0,0.0,0.017241379310344827,0,10,1.0,0.8362068965517241,5,1.0,2,1.5,7,28,43,130,35,173,887.37,16.25,14419.7,0.2958,94.07,593,0,0.0,018289_FormAI_64894.c,C:\Users\ad\Downloads\codepython\project\fraud_detection_system\data_C\AI\018289_FormAI_64894.c,1,2571
5,0,0,0,0,3,0,11,0,0,4,0,0,0,0,0,0,0,0.0,0,0.0,15,1,0,0,0,0,0,0,0,0.0,2,2,0,2,0,0,0,0,0,0.0,48,14,4.282894736842105,4,0,0,1.0,True,5,0.8,0,8,0.0,1.0,21.375,4.973366566019441,0.875,0,1,0,8,0.07407407407407407,49,0.8979591836734694,12,1.0,124,3082,23.862903225806452,19.507374402707534,92,27.39814814814815,18.440565094787342,0.6730588138685478,0.12903225806451613,1,0,88,False,2,0,0.0,0.0,18,0,1.0,0.8709677419354839,26,5.2,5,2.5,14,37,76,270,51,346,1962.66,51.08,100254.75,0.6542,70.21,1294,0,0.0,032098_FormAI_63114.c,C:\Users\ad\Downloads\codepython\project\fraud_detection_system\data_C\AI\032098_FormAI_63114.c,1,3082
1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,15,1,0,0,0,0,0,0,0,0.0,4,4,0,4,2,0,0,0,0,1.0,24,13,5.47191011235955,2,0,2,1.0,True,1,0.0,0,3,0.0,1.0,37.666666666666664,14.429907214608907,1.0,0,2,0,3,0.05660377358490566,13,1.0,18,1.0,61,1710,27.049180327868854,18.502482092693203,66,30.90566037735849,16.743643289369178,0.5417662358587096,0.13114754098360656,1,0,43,False,2,0,0.0,0.08196721311475409,5,0,1.0,0.8688524590163934,4,4.0,3,2.0,9,35,33,126,44,159,868.05,16.2,14062.4,0.2893,88.59,573,0,0.0,013434_FormAI_1403.c,C:\Users\ad\Downloads\codepython\project\fraud_detection_system\data_C\AI\013434_FormAI_1403.c,1,1710
5,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,13,0,0,0,0,0,0,0,0,0.0,6,4,2,6,0,0,0,0,0,0.0,41,26,4.112903225806452,2,3,6,0.6,False,5,0.0,0,4,0.0,0.0,44.75,10.871407452579449,1.0,0,4,0,4,0.058823529411764705,31,0.3548387096774194,28,0.9285714285714286,73,1893,24.945205479452056,15.619526250826043,67,26.779411764705884,14.587308734806687,0.5447210290866857,0.0684931506849315,1,0,48,False,2,0,0.0,0.0,7,0,1.0,0.9315068493150684,8,1.6,2,1.2857142857142858,11,52,56,177,63,233,1392.71,18.72,26073.07,0.4642,81.51,770,0,0.0,097080_FormAI_65504.c,C:\Users\ad\Downloads\codepython\project\fraud_detection_system\data_C\AI\097080_FormAI_65504.c,1,1893
